model,m,selection,session,task,kind,classes_seen,new_classes,accuracy,balanced_accuracy,f1_macro,f1_weighted,G_Mean,n,HR@1,MRR@1,HR@3,MRR@3,HR@5,MRR@5,RMSE_dr,MAE_dr,n_dr,RPD,minutes
resnet18,20,herding,12,T4_HAM,class-incremental,16,Dermatofibroma,0.4514138817480719,0.4069070026376331,0.3098594921038952,0.4505173393860583,0.0,1945,0.4514138817480719,0.4514138817480719,0.8205655526992288,0.6169665809768637,0.9280205655526992,0.6417994858611826,0.9385066339599072,0.5364238410596026,151,0.4946149374943288,0.62
resnet18,20,herding,13,T4_HAM,class-incremental,17,Melanocytic Nevi,0.7194663017447828,0.5540942890390722,0.5163811066947435,0.7075271973562975,0.4911741051259283,2923,0.7194663017447828,0.7194663017447828,0.9069449196031476,0.8035693921769872,0.9609989736572015,0.8162105143117802,0.8494407788679997,0.397094430992736,413,0.4367806466076805,4.35
resnet18,20,herding,14,T4_HAM,class-incremental,18,Melanoma,0.5536119209588597,0.5112664600470316,0.4559617956974297,0.5819487635782272,0.4034772892834072,3087,0.5536119209588597,0.5536119209588597,0.913508260447036,0.7183889428787389,0.9708454810495628,0.7316380520462152,0.7896209211012379,0.3597122302158273,417,0.4834139316850207,1.29
resnet18,20,herding,15,T4_HAM,class-incremental,19,Vascular Lesions,0.3371943371943371,0.4030080544660855,0.3225752062072655,0.3440042925454492,0.2673177002860469,3108,0.3371943371943371,0.3371943371943371,0.7818532818532818,0.5284212784212785,0.934041184041184,0.5633311883311883,0.9721393650372075,0.5384615384615384,182,0.5509827827140554,0.86
coatnet_0,1,herding,0,T1_APTOS,base,5,No DR;Mild DR;Moderate DR;Severe DR;Proliferative DR,0.7517401392111369,0.6094551389679672,0.5966145989128593,0.7465800113557198,0.5563323898253271,431,0.7517401392111369,0.7517401392111369,0.9675174013921114,0.8445475638051044,1.0,0.852552204176334,0.8160228375858833,0.3735498839907192,431,0.0,4.38
coatnet_0,1,herding,1,T2_ODIR,class-incremental,6,Normal,0.6897163120567376,0.3707432672459738,0.4000668960560656,0.6145945643930555,0.2883131521997097,1128,0.6897163120567376,0.6897163120567376,0.9636524822695036,0.8150118203309693,0.9973404255319148,0.8230348699763593,0.8712772736570379,0.5255474452554745,137,0.7500000000000001,2.03
coatnet_0,1,herding,2,T2_ODIR,class-incremental,7,Glaucoma,0.2632711621233859,0.3185300991286968,0.2861062928904822,0.1663327694558447,0.0,1394,0.2632711621233859,0.2632711621233859,0.9117647058823528,0.5740076518412243,0.9913916786226684,0.5921927307508369,0.9117291264405236,0.51875,160,0.8441358024691359,1.75
coatnet_0,1,herding,3,T2_ODIR,class-incremental,8,Cataract,0.2253129346314325,0.3588997856179426,0.3035481903866571,0.2835117040040923,0.1990691221716347,1438,0.2253129346314325,0.2253129346314325,0.8372739916550765,0.4958275382475661,0.9631432545201668,0.5256954102920723,0.9023778112773576,0.5190476190476191,210,0.7932659997230798,1.83
coatnet_0,1,herding,4,T2_ODIR,class-incremental,9,AMD,0.0595802301963439,0.2101659364663773,0.1615300485957556,0.0537296195488654,0.0,1477,0.0595802301963439,0.0595802301963439,0.6303317535545023,0.287519747235387,0.914691943127962,0.3537350485217784,0.8195375470622296,0.4626865671641791,67,0.9368113705884004,1.79
coatnet_0,1,herding,5,T2_ODIR,class-incremental,10,Hypertension,0.0315860215053763,0.1670724867835154,0.104084271751175,0.0387182906850525,0.0,1488,0.0315860215053763,0.0315860215053763,0.2278225806451612,0.1069668458781362,0.7600806451612904,0.2326388888888889,0.7423074889580902,0.4285714285714285,49,0.957608383577376,1.71
coatnet_0,1,herding,6,T2_ODIR,class-incremental,11,Myopia,0.0537352555701179,0.1596562188321649,0.1116696337955933,0.0476746807240285,0.0,1526,0.0537352555701179,0.0537352555701179,0.22870249017038,0.1252730449978156,0.3892529488859764,0.1621668851026649,1.0408329997330663,0.6666666666666666,72,0.9567993256623748,1.8
coatnet_0,1,herding,7,T2_ODIR,class-incremental,12,Other,0.0811965811965812,0.1071426839637729,0.0539247451035844,0.032644929058616,0.0,1638,0.0811965811965812,0.0811965811965812,0.2179487179487179,0.1406186406186406,0.514041514041514,0.2068884818884818,0.9805806756909202,0.5769230769230769,26,0.9805930169338692,2.29
